Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Store ID_encoded,Product ID_encoded,Category_encoded,Region_encoded,Weather Condition_encoded,Seasonality_encoded
2022-01-01,S001,P0001,Groceries,North,-0.334515865737783,-0.08535744794738863,-1.0521716587542924,-0.05340223970892011,-0.8314234967321836,1.4103499037564229,Rainy,-0.994624570530149,-0.9719313935078662,Autumn,0,0,3,1,1,0
2022-01-01,S001,P0002,Toys,South,-0.5422902838629695,0.12706678813985436,-0.8417544409022618,0.025510154162265014,0.30262710069301463,1.4103499037564229,Sunny,-0.994624570530149,0.4205195063307637,Autumn,0,1,4,2,3,0
2022-01-01,S001,P0003,Toys,West,-1.3272158634470073,-0.6579793017477827,-1.1286870107004854,-0.6192326485052246,-1.043169304655357,-0.0013421696183247799,Sunny,1.005404480875619,-0.9096968180557969,Summer,0,2,4,3,3,2
2022-01-01,S001,P0004,Toys,North,1.4969771532916383,-0.6949226471542598,1.032871681779465,-0.7282551389877021,-0.8613984023909995,-0.0013421696183247799,Cloudy,1.005404480875619,-0.7791187517698601,Autumn,0,3,4,1,0,0
2022-01-01,S001,P0005,Electronics,East,-0.8347135390021208,-1.129006955680365,0.4781353801695663,-1.2155414731374246,0.7111312637099533,-1.4130342429930725,Sunny,-0.994624570530149,0.5270437183008703,Summer,0,4,1,0,3,2
2022-01-01,S001,P0006,Groceries,South,-1.0501833059467587,-0.07612161159576937,-0.15311627338652545,-0.013347524033347751,0.8337209419812641,-0.0013421696183247799,Sunny,1.005404480875619,0.9241232181177538,Winter,0,5,3,2,3,3
2022-01-01,S001,P0007,Furniture,East,0.6504887831519899,-0.3624325384959664,1.0902581957391098,-0.2978741250391379,-0.806060115020878,-0.0013421696183247799,Rainy,1.005404480875619,-0.710011646513268,Winter,0,6,2,0,1,3
2022-01-01,S001,P0008,Clothing,North,0.8120911083604682,1.6232722771021746,-1.0713004967408406,1.735340074575378,1.646886331392216,-0.7071882063056986,Cloudy,-0.994624570530149,1.7159913744833473,Spring,0,7,0,1,0,1
2022-01-01,S001,P0009,Electronics,West,-0.7038926090714478,0.3579626969303359,0.4781353801695663,0.3027624504821468,-1.3217822098174268,-0.0013421696183247799,Cloudy,-0.994624570530149,-1.4312454687768195,Autumn,0,8,1,3,0,0
2022-01-01,S001,P0010,Toys,South,-1.281043770530299,-0.9997052467576953,1.6449944973490085,-1.0754880879821471,0.18657041468067662,-1.4130342429930725,Rainy,1.005404480875619,0.23152493670638163,Winter,0,9,4,2,1,3
